id,timestamp,source_ip,device_name,domain,protocol,port,risk_score,entropy,severity,agent_id,dst_ip,packet_size,device_type,os_family,brand,mac_address,identity_confidence
31,2026-02-19 15:34:35,10.31.205.39,Unknown,browser.events.data.microsoft.com,UDP,49782,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,269,Unknown,Linux/Android,Unknown,-,low
32,2026-02-19 15:34:36,10.31.205.39,Unknown,browser.events.data.microsoft.com,UDP,60707,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,214,Unknown,Linux/Android,Unknown,-,low
33,2026-02-19 15:34:38,10.31.205.131,Y SERIES,y series._androidtvremote2._tcp.local,UDP,5353,0,0.0,LOW,GATEWAY_SENSE_01,224.0.0.251,249,Unknown,Network Device,Unknown,-,low
34,2026-02-19 15:34:39,10.31.205.131,Y SERIES,y series._androidtvremote2._tcp.local,UDP,5353,0,0.0,LOW,GATEWAY_SENSE_01,224.0.0.251,249,Unknown,Network Device,Unknown,-,low
35,2026-02-19 15:34:40,10.31.205.96,Unknown,edge.microsoft.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,78,Unknown,Windows,Unknown,-,low
36,2026-02-19 15:34:41,10.31.205.96,Unknown,edge.microsoft.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,78,Unknown,Windows,Unknown,-,low
37,2026-02-19 15:34:41,10.31.205.96,Unknown,www.bing.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,72,Unknown,Windows,Unknown,-,low
38,2026-02-19 15:34:42,10.31.205.96,Unknown,www.bing.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,72,Unknown,Windows,Unknown,-,low
39,2026-02-19 15:34:42,10.31.205.39,Unknown,edge.microsoft.com,UDP,51246,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,178,Unknown,Linux/Android,Unknown,-,low
40,2026-02-19 15:34:42,10.31.205.39,Unknown,www.bing.com,UDP,53030,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,254,Unknown,Linux/Android,Unknown,-,low
41,2026-02-19 15:34:42,10.31.205.96,Unknown,antigravity-unleash.goog,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,84,Unknown,Windows,Unknown,-,low
42,2026-02-19 15:34:42,10.31.205.96,Unknown,prod.rewardsplatform.microsoft.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,94,Unknown,Windows,Unknown,-,low
43,2026-02-19 15:34:42,10.31.205.39,Unknown,antigravity-unleash.goog,UDP,50146,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,169,Unknown,Linux/Android,Unknown,-,low
44,2026-02-19 15:34:42,10.31.205.39,Unknown,prod.rewardsplatform.microsoft.com,UDP,58931,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,234,Unknown,Linux/Android,Unknown,-,low
45,2026-02-19 15:34:42,10.31.205.96,Unknown,edge.microsoft.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,78,Unknown,Windows,Unknown,-,low
46,2026-02-19 15:34:43,10.31.205.96,Unknown,substrate.office.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,80,Unknown,Windows,Unknown,-,low
47,2026-02-19 15:34:43,10.31.205.39,Unknown,substrate.office.com,UDP,63681,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,221,Unknown,Linux/Android,Unknown,-,low
48,2026-02-19 15:34:43,10.31.205.96,Unknown,aks-prod-southeastasia.access-point.cloudmessaging.edge.microsoft.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,129,Unknown,Windows,Unknown,-,low
49,2026-02-19 15:34:43,10.31.205.39,Unknown,aks-prod-southeastasia.access-point.cloudmessaging.edge.microsoft.com,UDP,53081,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,278,Unknown,Linux/Android,Unknown,-,low
50,2026-02-19 15:34:44,10.31.205.96,Unknown,beacons.gcp.gvt2.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,80,Unknown,Windows,Unknown,-,low
51,2026-02-19 15:34:44,10.31.205.39,Unknown,beacons.gcp.gvt2.com,UDP,50293,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,150,Unknown,Linux/Android,Unknown,-,low
52,2026-02-19 15:34:44,10.31.205.96,Unknown,substrate.office.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,80,Unknown,Windows,Unknown,-,low
53,2026-02-19 15:34:44,10.31.205.39,Unknown,substrate.office.com,UDP,53476,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,375,Unknown,Linux/Android,Unknown,-,low
54,2026-02-19 15:34:44,10.31.205.96,Unknown,graph.microsoft.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,79,Unknown,Windows,Unknown,-,low
55,2026-02-19 15:34:44,10.31.205.39,Unknown,graph.microsoft.com,UDP,57259,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,225,Unknown,Linux/Android,Unknown,-,low
56,2026-02-19 15:34:44,10.31.205.96,Unknown,www.bingapis.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,76,Unknown,Windows,Unknown,-,low
57,2026-02-19 15:34:44,10.31.205.39,Unknown,www.bingapis.com,UDP,61148,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,199,Unknown,Linux/Android,Unknown,-,low
58,2026-02-19 15:34:44,10.31.205.96,Unknown,edge.microsoft.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,78,Unknown,Windows,Unknown,-,low
59,2026-02-19 15:34:44,10.31.205.39,Unknown,edge.microsoft.com,UDP,64593,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,193,Unknown,Linux/Android,Unknown,-,low
60,2026-02-19 15:34:46,10.31.205.96,_GOOGLECAST,_googlecast._tcp.local,UDP,5353,0,0.0,LOW,GATEWAY_SENSE_01,224.0.0.251,82,Unknown,Linux/Android,Unknown,-,low
61,2026-02-19 15:34:46,10.31.205.96,Unknown,fonts.googleapis.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,80,Unknown,Windows,Unknown,-,low
62,2026-02-19 15:34:46,10.31.205.96,Unknown,cdn.jsdelivr.net,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,76,Unknown,Windows,Unknown,-,low
63,2026-02-19 15:34:46,10.31.205.96,Unknown,cdnjs.cloudflare.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,80,Unknown,Windows,Unknown,-,low
64,2026-02-19 15:34:46,10.31.205.39,Unknown,fonts.googleapis.com,UDP,58364,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,108,Unknown,Linux/Android,Unknown,-,low
65,2026-02-19 15:34:46,10.31.205.39,Unknown,cdn.jsdelivr.net,UDP,51898,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,153,Unknown,Linux/Android,Unknown,-,low
66,2026-02-19 15:34:47,10.31.205.96,Unknown,fonts.gstatic.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,77,Unknown,Windows,Unknown,-,low
67,2026-02-19 15:34:47,10.31.205.39,Unknown,fonts.gstatic.com,UDP,55422,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,105,Unknown,Linux/Android,Unknown,-,low
68,2026-02-19 15:34:47,10.31.205.39,Unknown,fonts.googleapis.com,UDP,56994,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,173,Unknown,Linux/Android,Unknown,-,low
69,2026-02-19 15:34:47,10.31.205.39,Unknown,cdnjs.cloudflare.com,UDP,58099,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,125,Unknown,Linux/Android,Unknown,-,low
70,2026-02-19 15:34:47,10.31.205.39,Unknown,cdn.jsdelivr.net,UDP,56509,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,180,Unknown,Linux/Android,Unknown,-,low
71,2026-02-19 15:34:47,10.31.205.96,_GOOGLECAST,_googlecast._tcp.local,UDP,5353,0,0.0,LOW,GATEWAY_SENSE_01,224.0.0.251,82,Unknown,Linux/Android,Unknown,-,low
72,2026-02-19 15:34:48,10.31.205.96,Unknown,cdnjs.cloudflare.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,80,Unknown,Windows,Unknown,-,low
73,2026-02-19 15:34:49,10.31.205.96,_GOOGLECAST,_googlecast._tcp.local,UDP,5353,0,0.0,LOW,GATEWAY_SENSE_01,224.0.0.251,82,Unknown,Linux/Android,Unknown,-,low
74,2026-02-19 15:34:49,10.31.205.96,Unknown,cdnjs.cloudflare.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,80,Unknown,Windows,Unknown,-,low
75,2026-02-19 15:34:49,10.31.205.39,Unknown,cdnjs.cloudflare.com,UDP,59038,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,112,Unknown,Linux/Android,Unknown,-,low
76,2026-02-19 15:35:00,10.31.205.96,Unknown,edge-consumer-static.azureedge.net,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,94,Unknown,Windows,Unknown,-,low
77,2026-02-19 15:35:00,10.31.205.39,Unknown,edge-consumer-static.azureedge.net,UDP,58397,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,298,Unknown,Linux/Android,Unknown,-,low
78,2026-02-19 15:35:00,10.31.205.96,Unknown,update.googleapis.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,81,Unknown,Windows,Unknown,-,low
79,2026-02-19 15:35:01,10.31.205.39,Unknown,update.googleapis.com,UDP,53041,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,109,Unknown,Linux/Android,Unknown,-,low
80,2026-02-19 15:35:01,10.31.205.96,Unknown,substrate.office.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,80,Unknown,Windows,Unknown,-,low
81,2026-02-19 15:35:01,10.31.205.39,Unknown,substrate.office.com,UDP,56098,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.96,302,Unknown,Linux/Android,Unknown,-,low
82,2026-02-19 15:35:02,10.31.205.96,Unknown,firebaselogging-pa.googleapis.com,UDP,53,0,0.0,LOW,GATEWAY_SENSE_01,10.31.205.39,93,Unknown,Windows,Unknown,-,low
