id,timestamp,source_ip,device_name,domain,protocol,port,risk_score,entropy,severity,agent_id,dst_ip,packet_size,device_type,os_family,brand,mac_address,identity_confidence
1,2026-02-18 19:13:40,10.31.205.96,Unknown,antigravity-unleash.goog,UDP,53,0,3.68,LOW,GATEWAY_SENSE_01,10.31.205.39,84,PC,Windows,Unknown,-,-
2,2026-02-18 19:13:40,10.31.205.39,Unknown,functional.events.data.microsoft.com,UDP,62362,0,3.12,LOW,GATEWAY_SENSE_01,10.31.205.96,292,PC,Linux/Android,Unknown,-,-
3,2026-02-18 19:13:40,10.31.205.96,Unknown,antigravity-unleash.goog,UDP,53,0,3.68,LOW,GATEWAY_SENSE_01,10.31.205.39,84,PC,Windows,Unknown,-,-
4,2026-02-18 19:13:40,10.31.205.39,Unknown,functional.events.data.microsoft.com,UDP,62362,0,3.12,LOW,GATEWAY_SENSE_01,10.31.205.96,292,PC,Linux/Android,Unknown,-,-
5,2026-02-18 19:14:12,10.31.205.96,Unknown,firebaselogging-pa.googleapis.com,UDP,53,0,3.57,LOW,GATEWAY_SENSE_01,10.31.205.39,93,PC,Windows,Unknown,-,-
6,2026-02-18 19:14:13,10.31.205.96,Unknown,firebaselogging-pa.googleapis.com,UDP,53,0,3.57,LOW,GATEWAY_SENSE_01,10.31.205.39,93,PC,Windows,Unknown,-,-
7,2026-02-18 19:14:13,10.31.205.39,Unknown,firebaselogging-pa.googleapis.com,UDP,65491,0,3.57,LOW,GATEWAY_SENSE_01,10.31.205.96,157,PC,Linux/Android,Unknown,-,-
8,2026-02-18 19:14:21,10.31.205.96,Unknown,rs.fullstory.com,UDP,53,0,2.95,LOW,GATEWAY_SENSE_01,10.31.205.39,76,PC,Windows,Unknown,-,-
9,2026-02-18 19:14:21,10.31.205.39,Unknown,rs.fullstory.com,UDP,62424,0,2.95,LOW,GATEWAY_SENSE_01,10.31.205.96,166,PC,Linux/Android,Unknown,-,-
10,2026-02-18 19:14:25,10.31.205.39,Unknown,rs.fullstory.com,UDP,60431,0,2.95,LOW,GATEWAY_SENSE_01,10.31.205.96,166,PC,Linux/Android,Unknown,-,-
11,2026-02-18 19:14:25,10.31.205.96,Unknown,www.bing.com,UDP,53,0,2.0,LOW,GATEWAY_SENSE_01,10.31.205.39,72,PC,Windows,Unknown,-,-
12,2026-02-18 19:14:25,10.31.205.39,Unknown,www.bing.com,UDP,49363,0,2.0,LOW,GATEWAY_SENSE_01,10.31.205.96,254,PC,Linux/Android,Unknown,-,-
