id,timestamp,source_ip,device_name,domain,protocol,port,risk_score,entropy,severity,agent_id,dst_ip,packet_size,device_type,os_family,brand,mac_address,identity_confidence,organization_id
20,2026-02-24 09:44:29,172.26.162.166,Remote Device,us-east-1.ctrl.prod.os.notifications.aws.dev,UDP,53,0,2.87314,LOW,GATEWAY_SENSE_01,172.26.162.254,152,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
21,2026-02-24 09:44:29,172.26.162.254,Remote Device,us-east-1.ctrl.prod.os.notifications.aws.dev,UDP,53,0,2.87314,LOW,GATEWAY_SENSE_01,172.26.162.166,104,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
22,2026-02-24 09:44:29,172.26.162.166,Remote Device,us-east-1.ctrl.prod.os.notifications.aws.dev,UDP,53,0,2.87314,LOW,GATEWAY_SENSE_01,172.26.162.254,104,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
23,2026-02-24 09:44:30,172.26.162.254,Remote Device,cell-0.ap-south-1.prod.telemetry.console.api.aws,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.166,108,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
24,2026-02-24 09:44:30,172.26.162.254,Remote Device,cell-0.ap-south-1.prod.telemetry.console.api.aws,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.166,108,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
25,2026-02-24 09:44:30,172.26.162.166,Remote Device,cell-0.ap-south-1.prod.telemetry.console.api.aws,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.254,164,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
26,2026-02-24 09:44:30,172.26.162.166,Remote Device,cell-0.ap-south-1.prod.telemetry.console.api.aws,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.254,280,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
27,2026-02-24 09:44:30,172.26.162.254,Remote Device,cell-0.ap-south-1.prod.telemetry.console.api.aws,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.166,108,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
28,2026-02-24 09:44:30,172.26.162.166,Remote Device,cell-0.ap-south-1.prod.telemetry.console.api.aws,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.254,280,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
29,2026-02-24 09:44:30,172.26.162.254,Remote Device,cell-0.ap-south-1.prod.telemetry.console.api.aws,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.166,108,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
30,2026-02-24 09:44:30,172.26.162.166,Remote Device,cell-0.ap-south-1.prod.telemetry.console.api.aws,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.254,164,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
31,2026-02-24 09:44:34,172.26.162.254,Remote Device,netvisor-prem-2026.loca.lt,UDP,53,0,3.72548,LOW,GATEWAY_SENSE_01,172.26.162.166,86,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
32,2026-02-24 09:44:34,172.26.162.254,Remote Device,lemon-gifts-bake.loca.lt,UDP,53,0,3.75,LOW,GATEWAY_SENSE_01,172.26.162.166,84,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
33,2026-02-24 09:44:34,172.26.162.166,Remote Device,lemon-gifts-bake.loca.lt,UDP,53,0,3.75,LOW,GATEWAY_SENSE_01,172.26.162.254,84,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
34,2026-02-24 09:44:34,172.26.162.166,Remote Device,netvisor-prem-2026.loca.lt,UDP,53,0,3.72548,LOW,GATEWAY_SENSE_01,172.26.162.254,86,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
35,2026-02-24 09:45:15,172.26.162.254,Remote Device,logs.ap-south-1.amazonaws.com,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.166,89,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
36,2026-02-24 09:45:15,172.26.162.254,Remote Device,logs.ap-south-1.amazonaws.com,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.166,89,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
37,2026-02-24 09:45:15,172.26.162.254,Remote Device,logs.ap-south-1.amazonaws.com,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.166,89,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
38,2026-02-24 09:45:15,172.26.162.254,Remote Device,netvisor-prem-2026.loca.lt,UDP,53,0,3.72548,LOW,GATEWAY_SENSE_01,172.26.162.166,86,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
39,2026-02-24 09:45:15,172.26.162.254,Remote Device,lemon-gifts-bake.loca.lt,UDP,53,0,3.75,LOW,GATEWAY_SENSE_01,172.26.162.166,84,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
40,2026-02-24 09:45:15,172.26.162.166,Remote Device,netvisor-prem-2026.loca.lt,UDP,53,0,3.72548,LOW,GATEWAY_SENSE_01,172.26.162.254,86,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
41,2026-02-24 09:45:15,172.26.162.166,Remote Device,lemon-gifts-bake.loca.lt,UDP,53,0,3.75,LOW,GATEWAY_SENSE_01,172.26.162.254,84,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
42,2026-02-24 09:45:15,172.26.162.166,Remote Device,logs.ap-south-1.amazonaws.com,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.254,217,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
43,2026-02-24 09:45:15,172.26.162.166,Remote Device,logs.ap-south-1.amazonaws.com,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.254,167,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
44,2026-02-24 09:45:15,172.26.162.166,Remote Device,logs.ap-south-1.amazonaws.com,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.254,167,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
45,2026-02-24 09:45:15,172.26.162.254,Remote Device,logs.ap-south-1.amazonaws.com,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.166,89,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
46,2026-02-24 09:45:15,172.26.162.166,Remote Device,logs.ap-south-1.amazonaws.com,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.254,89,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
47,2026-02-24 09:45:16,172.26.162.254,Remote Device,cell-0.ap-south-1.prod.telemetry.console.api.aws,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.166,108,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
48,2026-02-24 09:45:16,172.26.162.254,Remote Device,cell-0.ap-south-1.prod.telemetry.console.api.aws,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.166,108,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
49,2026-02-24 09:45:16,172.26.162.166,Remote Device,cell-0.ap-south-1.prod.telemetry.console.api.aws,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.254,140,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
50,2026-02-24 09:45:16,172.26.162.166,Remote Device,cell-0.ap-south-1.prod.telemetry.console.api.aws,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.254,164,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
51,2026-02-24 09:45:16,172.26.162.254,Remote Device,cell-0.ap-south-1.prod.telemetry.console.api.aws,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.166,108,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
52,2026-02-24 09:45:16,172.26.162.166,Remote Device,cell-0.ap-south-1.prod.telemetry.console.api.aws,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.254,140,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
53,2026-02-24 09:45:16,172.26.162.254,Remote Device,cell-0.ap-south-1.prod.telemetry.console.api.aws,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.166,108,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
54,2026-02-24 09:45:16,172.26.162.166,Remote Device,cell-0.ap-south-1.prod.telemetry.console.api.aws,UDP,53,0,3.12193,LOW,GATEWAY_SENSE_01,172.26.162.254,164,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
55,2026-02-24 09:45:20,172.26.162.254,Remote Device,netvisor-prem-2026.loca.lt,UDP,53,0,3.72548,LOW,GATEWAY_SENSE_01,172.26.162.166,86,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
56,2026-02-24 09:45:20,172.26.162.166,Remote Device,netvisor-prem-2026.loca.lt,UDP,53,0,3.72548,LOW,GATEWAY_SENSE_01,172.26.162.254,86,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
57,2026-02-24 09:45:20,172.26.162.254,Remote Device,lemon-gifts-bake.loca.lt,UDP,53,0,3.75,LOW,GATEWAY_SENSE_01,172.26.162.166,84,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
58,2026-02-24 09:45:20,172.26.162.166,Remote Device,lemon-gifts-bake.loca.lt,UDP,53,0,3.75,LOW,GATEWAY_SENSE_01,172.26.162.254,84,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
59,2026-02-24 09:45:50,172.26.162.254,Remote Device,merino.services.mozilla.com,UDP,53,0,2.5,LOW,GATEWAY_SENSE_01,172.26.162.166,87,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
60,2026-02-24 09:45:50,172.26.162.254,Remote Device,merino.services.mozilla.com,UDP,53,0,2.5,LOW,GATEWAY_SENSE_01,172.26.162.166,87,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
61,2026-02-24 09:45:50,172.26.162.254,Remote Device,netvisor-prem-2026.loca.lt,UDP,53,0,3.72548,LOW,GATEWAY_SENSE_01,172.26.162.166,86,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
62,2026-02-24 09:45:50,172.26.162.254,Remote Device,lemon-gifts-bake.loca.lt,UDP,53,0,3.75,LOW,GATEWAY_SENSE_01,172.26.162.166,84,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
63,2026-02-24 09:45:50,172.26.162.166,Remote Device,lemon-gifts-bake.loca.lt,UDP,53,0,3.75,LOW,GATEWAY_SENSE_01,172.26.162.254,84,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
64,2026-02-24 09:45:50,172.26.162.166,Remote Device,netvisor-prem-2026.loca.lt,UDP,53,0,3.72548,LOW,GATEWAY_SENSE_01,172.26.162.254,86,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
65,2026-02-24 09:45:50,172.26.162.166,Remote Device,merino.services.mozilla.com,UDP,53,0,2.5,LOW,GATEWAY_SENSE_01,172.26.162.254,211,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
66,2026-02-24 09:45:50,172.26.162.166,Remote Device,merino.services.mozilla.com,UDP,53,0,2.5,LOW,GATEWAY_SENSE_01,172.26.162.254,223,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
67,2026-02-24 09:45:50,172.26.162.254,Remote Device,mozilla.map.fastly.net,UDP,53,0,2.52164,LOW,GATEWAY_SENSE_01,172.26.162.166,82,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
68,2026-02-24 09:45:50,172.26.162.254,Remote Device,mozilla.map.fastly.net,UDP,53,0,2.52164,LOW,GATEWAY_SENSE_01,172.26.162.166,82,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
69,2026-02-24 09:45:50,172.26.162.166,Remote Device,mozilla.map.fastly.net,UDP,53,0,2.52164,LOW,GATEWAY_SENSE_01,172.26.162.254,110,Unknown,Unknown,Unknown,-,low,39b6f683-3560-4178-a1cf-3652ec1b1c8a
