timestamp,source_ip,domain,agent_id,severity,risk_score,entropy
2026-02-18 19:13:33,10.31.205.96,functional.events.data.microsoft.com,GATEWAY_SENSE_01,LOW,0,3.12
2026-02-18 19:13:33,10.31.205.39,functional.events.data.microsoft.com,GATEWAY_SENSE_01,LOW,0,3.12
2026-02-18 19:13:40,10.31.205.39,functional.events.data.microsoft.com,GATEWAY_SENSE_01,LOW,0,3.12
2026-02-18 19:13:40,10.31.205.96,antigravity-unleash.goog,GATEWAY_SENSE_01,LOW,0,3.68
2026-02-18 19:14:12,10.31.205.96,firebaselogging-pa.googleapis.com,GATEWAY_SENSE_01,LOW,0,3.57
2026-02-18 19:14:13,10.31.205.96,firebaselogging-pa.googleapis.com,GATEWAY_SENSE_01,LOW,0,3.57
2026-02-18 19:14:13,10.31.205.39,firebaselogging-pa.googleapis.com,GATEWAY_SENSE_01,LOW,0,3.57
2026-02-18 19:14:21,10.31.205.96,rs.fullstory.com,GATEWAY_SENSE_01,LOW,0,2.95
2026-02-18 19:14:21,10.31.205.39,rs.fullstory.com,GATEWAY_SENSE_01,LOW,0,2.95
2026-02-18 19:14:25,10.31.205.39,rs.fullstory.com,GATEWAY_SENSE_01,LOW,0,2.95
2026-02-18 19:14:25,10.31.205.96,www.bing.com,GATEWAY_SENSE_01,LOW,0,2.0
2026-02-18 19:14:25,10.31.205.39,www.bing.com,GATEWAY_SENSE_01,LOW,0,2.0
2026-02-18 19:14:41,10.31.205.39,www.bing.com,GATEWAY_SENSE_01,LOW,0,2.0
2026-02-18 19:14:41,10.31.205.96,antigravity-unleash.goog,GATEWAY_SENSE_01,LOW,0,3.68
2026-02-18 19:14:41,10.31.205.39,antigravity-unleash.goog,GATEWAY_SENSE_01,LOW,0,3.68
